"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","province"
"1","phi[30]",0.7135339015,0.715064,0.0400112075037392,0.0395446485000001,0.64498995,0.77617495,1.00084506800473,3770.13761243503,3224.01524715439,"Chongqing"
"2","phi[3]",0.7291253015,0.730656,0.0411320643466074,0.0419590626,0.65895475,0.79297495,0.999821576798687,4224.34823835648,3015.72275602292,"Fujian"
"3","phi[23]",0.768300868,0.7694215,0.0332336931081166,0.0324192729,0.7118882,0.82111195,1.00148171813887,5880.66800091863,2779.81619372231,"Shaanxi"
"4","phi[6]",0.77009431075,0.7710875,0.0356724823614525,0.0341976516000001,0.7084566,0.82537795,1.00268519289036,5702.98787570479,2790.30000349144,"Guangxi"
"5","phi[25]",0.77060006475,0.771499,0.0274038813950403,0.0264985098,0.7234868,0.8143843,1.00070103932759,6554.21439137213,2979.97408363861,"Sichuan"
"6","phi[29]",0.77324928075,0.775275,0.033865299222527,0.0343192248,0.7156772,0.82462945,1.0036290568262,5595.06776774019,2914.70281299964,"Zhejiang"
"7","phi[12]",0.7739313915,0.7742505,0.0282293138401325,0.0285904584,0.7264776,0.8201625,1.00050994228871,5019.79127090874,2991.00506580415,"Hubei"
"8","phi[5]",0.7783579005,0.780544,0.0362818344780397,0.0358655766,0.7149928,0.83550945,0.999972789074457,6047.23916716589,2816.39206381612,"Guangdong"
"9","phi[16]",0.78019241475,0.782162,0.0311938586997325,0.0303399264,0.72615455,0.8283571,1.00166557835539,4577.69194150451,3245.37259163642,"Jiangxi"
"10","phi[13]",0.78172456625,0.7826855,0.0278427148688652,0.0286601406000001,0.73507695,0.82521905,1.00130391345656,5898.69229438018,3179.26697340086,"Hunan"
"11","phi[8]",0.78388350075,0.788051,0.0607933239502104,0.0570741696,0.6777965,0.872525,1.00041954814878,4738.09266710032,2578.87996628935,"Hainan"
"12","phi[11]",0.7897879765,0.790693,0.0264259345649564,0.0262494330000001,0.7450206,0.83156605,1.00254066727423,6301.41851585456,3217.23966476804,"Heilongjiang"
"13","phi[28]",0.79064266075,0.7921595,0.0337155086275613,0.0343436877,0.7343771,0.8435322,0.99986936670894,5398.86258825313,2339.34081667861,"Yunnan"
"14","phi[15]",0.79402314475,0.7959435,0.0294640492983663,0.0292346481,0.7428993,0.83930615,1.00017559677564,6145.70586813282,2939.19971278519,"Jiangsu"
"15","phi[24]",0.8008169555,0.8015155,0.0242166681409,0.0244176807,0.76009345,0.838762,1.00298676862388,4867.93285094378,3179.603065309,"Shanghai"
"16","phi[27]",0.80326587,0.8075035,0.0546264154120128,0.0509940269999999,0.7057598,0.8845015,1.00408845203971,5319.65118445156,2825.49529910974,"Xinjiang"
"17","phi[2]",0.80435657225,0.8051725,0.0271045207257613,0.0272857704,0.7576256,0.84660315,1.0006925878898,5300.56992675731,3146.27246561171,"Beijing"
"18","phi[31]",0.804561479,0.809176,0.0552221550653139,0.0512697906,0.7083138,0.88600235,1.00020013776561,4148.1995071002,2567.75972076119,"Tibet"
"19","phi[26]",0.8063636165,0.8077895,0.030497229440456,0.0304829973,0.75442305,0.8550867,0.999616774987707,5169.33309475948,3394.42679086937,"Tianjin"
"20","phi[4]",0.80711466025,0.809673,0.0384399120153358,0.0379693860000002,0.74053115,0.8654565,1.00042633817307,5162.11679573133,3512.67241521293,"Gansu"
"21","phi[20]",0.808755078,0.810328,0.0487398262812856,0.0466388895,0.7233325,0.88614425,1.00060248306494,3255.31826691094,2426.47478867735,"Qinghai"
"22","phi[22]",0.80908459175,0.810273,0.0344150088102696,0.0344711913,0.75070355,0.8633982,0.999937749128414,5531.86850343388,3083.29574918042,"Shanxi"
"23","phi[9]",0.8160292495,0.81717,0.0293956213970224,0.0296601543000001,0.7647793,0.86158675,1.00207788665393,6053.30579082852,3188.41347942285,"Hebei"
"24","phi[19]",0.818270484,0.820922,0.0462980694174356,0.0449220387,0.73789785,0.88918405,1.00051589631707,4661.64383456452,2394.87168001927,"Ningxia"
"25","phi[7]",0.81938118,0.820479,0.0388769900517127,0.0379123058999999,0.7543914,0.8796147,1.00167800305028,4310.74420981661,2470.15103153542,"Guizhou"
"26","phi[10]",0.84071567225,0.841276,0.0220693391965748,0.0222590151,0.80314795,0.8758724,1.00103910189885,5446.29328710755,3519.51758049263,"Henan"
"27","phi[1]",0.84962779625,0.8507325,0.0246946273561538,0.0249039735,0.8069794,0.88843105,1.00139700456255,5073.50156322295,3472.33259757879,"Anhui"
"28","phi[18]",0.85391737175,0.8549045,0.0360812230007432,0.0355653500999999,0.7920671,0.9104985,1.0017346591189,3356.12894244541,2788.41965129823,"Inner Mongolia"
"29","phi[17]",0.85630615175,0.856617,0.0265176519558017,0.0264658926,0.8106856,0.89771405,1.00096052730562,4603.88391909187,3026.40540572819,"Liaoning"
"30","phi[14]",0.8564519825,0.8578035,0.0243685105766874,0.0246119013,0.81579025,0.8939783,1.00128880600302,4366.41827405235,3256.7703893043,"Jilin"
"31","phi[21]",0.86155624825,0.8624945,0.023886365518587,0.0244087850999999,0.82069435,0.8990026,1.00115685276348,3180.11817618786,2959.93515928765,"Shandong"
